"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000032192",93.2207552208741,-1.51832646792553,0.220937939820572,7.03591260224446e-13,2.75045985376521e-11,"Down","Gnb5"
"ENSMUSG00000029314",16.3821895805391,-1.52115615343104,0.528405571380528,8.06238441155449e-05,0.000809393113609697,"Down","Gpat3"
"ENSMUSG00000040610",17.7668299801595,-1.52126340055848,0.629939886356173,0.000217231840477774,0.00191437920636696,"Down","Tlx3"
"ENSMUSG00000058056",1309.90212280091,-1.52152076677628,0.223629652073221,1.11966504113137e-12,4.27391538958411e-11,"Down","Palld"
"ENSMUSG00000073538",43.3517417297916,-1.52278137306145,0.373819376656401,2.4222109091891e-06,3.54994887334446e-05,"Down",NA
"ENSMUSG00000033209",97.3468330645877,-1.52356164712016,0.504002297071153,5.70100697183916e-05,0.000598413828649446,"Down","Ttc28"
"ENSMUSG00000049521",73.1517385339658,-1.52356623039612,0.416522570217275,9.87567237711228e-06,0.000126051639428016,"Down","Cdc42ep1"
"ENSMUSG00000117406",45.1457380996917,-1.52506091098091,0.435392128741937,1.57502944481091e-05,0.00019208346460212,"Down","Ntn3"
"ENSMUSG00000028626",69.5651948788089,-1.53219046511972,0.275844189324072,2.53599071375925e-09,6.37741883091642e-08,"Down","Col9a2"
"ENSMUSG00000029769",985.872960568651,-1.53477932119498,0.136133997739423,2.14787163394107e-30,3.40118829283997e-28,"Down","Ccdc136"
"ENSMUSG00000078865",73.4225410433126,-1.53558401832755,0.353210398326331,8.27659407786093e-07,1.33992240706201e-05,"Down",NA
"ENSMUSG00000045038",84.7572940762546,-1.53627180820068,0.330838383336811,2.36519812256428e-07,4.33847970554347e-06,"Down","Prkce"
"ENSMUSG00000052117",73.1990207133073,-1.53820694939375,0.170266225990552,1.92851049472284e-20,1.60859996779989e-18,"Down","D630039A03Rik"
"ENSMUSG00000115007",17.4178047801666,-1.53856110975645,0.527701295301489,7.18657738082432e-05,0.00073235161856173,"Down",NA
"ENSMUSG00000026976",21.1905266096618,-1.54304124301379,0.539817494636783,8.14186692423906e-05,0.000815353264265818,"Down","Pax8"
"ENSMUSG00000102189",68.7895727673889,-1.54385893250161,0.619315000581142,0.000178557466037345,0.00161787272199864,"Down",NA
"ENSMUSG00000071064",340.62585480748,-1.54768886814188,0.178653704409026,5.17522958349009e-19,3.82834775283798e-17,"Down","Zfp827"
"ENSMUSG00000034394",220.456464836858,-1.55035937626869,0.21370515809946,4.25642172470311e-14,1.96522578446486e-12,"Down","Lif"
"ENSMUSG00000058656",102.215793937898,-1.55051341172536,0.5060160238061,4.92576087149233e-05,0.000526028699179547,"Down","Samd12"
"ENSMUSG00000022591",35.3640741107741,-1.55191870990575,1.61738657275745,0.00183515496087782,0.0119323601294289,"Down",NA
"ENSMUSG00000023885",52.0833428697023,-1.56849097293207,0.574464502367107,0.00010374772028237,0.00100519241988688,"Down","Thbs2"
"ENSMUSG00000052316",90.2897923376628,-1.57070989462163,0.228854765242338,6.57941978110257e-13,2.58446239424744e-11,"Down","Lrrc15"
"ENSMUSG00000115338",1187.22609431834,-1.57110530203234,0.148330004362957,3.5495344529013e-27,4.79636758839042e-25,"Down","Pnp"
"ENSMUSG00000060803",2525.65598351008,-1.58115053725799,0.153707045307566,8.55403836974728e-26,1.01989296303769e-23,"Down","Gstp1"
"ENSMUSG00000049680",108.967271116709,-1.58296335495214,0.254417394500605,4.39696904317375e-11,1.39036139681886e-09,"Down","Urgcp"
"ENSMUSG00000040536",7.5551510229167,-1.58944309796101,0.552303895850188,7.17855477062165e-05,0.000731902045501662,"Down","Necab1"
"ENSMUSG00000039238",113.943966670505,-1.59920076397377,0.241921349922486,3.41137385061508e-12,1.2417713734972e-10,"Down","Zfp750"
"ENSMUSG00000032968",20.2294644456822,-1.60566206796497,0.519944474737153,4.21367660775981e-05,0.000459424481778825,"Down","Inha"
"ENSMUSG00000061013",104.250913339517,-1.60629537468412,0.288842791335525,2.06356716863264e-09,5.28111653295644e-08,"Down","Mkx"
"ENSMUSG00000031608",781.975085993202,-1.60914578352164,0.172374321721282,9.69474130382636e-22,8.97272655192952e-20,"Down","Galnt7"
"ENSMUSG00000052534",994.564129732948,-1.60991634549811,0.198980841180702,5.52304662977879e-17,3.42344440792007e-15,"Down","Pbx1"
"ENSMUSG00000033826",1215.78196948177,-1.61170834218883,0.220560274083272,2.44899132929876e-14,1.15707704553745e-12,"Down","Dnah8"
"ENSMUSG00000078898",60.3230146142507,-1.6142470303996,0.39298988603218,1.810223821846e-06,2.72596037481402e-05,"Down","Zfp968"
"ENSMUSG00000019235",814.075527056058,-1.61523364611505,0.131075364013165,6.6363368852112e-36,1.26898030496553e-33,"Down","Rps6kl1"
"ENSMUSG00000109290",3.38688890752646,-1.61527312135649,1.75228968654964,0.00173134107337371,0.0113678497622973,"Down",NA
"ENSMUSG00000025930",36.3856766082047,-1.61667149829673,0.336654287082172,9.7623880656466e-08,1.90263311252491e-06,"Down","Msc"
"ENSMUSG00000046808",887.683247623836,-1.62003795954986,0.201875223590156,9.17063660905709e-17,5.56525848589755e-15,"Down","Atp10d"
"ENSMUSG00000041449",11.1754723493975,-1.62304950011526,0.944705886689404,0.000605899478254614,0.00469276901977179,"Down",NA
"ENSMUSG00000087474",12.0420177277282,-1.62958976124465,0.600325630014862,9.6093479577528e-05,0.000942035532900127,"Down","Gm12100"
"ENSMUSG00000047810",48.1945666074584,-1.63068553598899,0.466160494279172,1.32760547286275e-05,0.000164885020401073,"Down","Ccdc88b"
"ENSMUSG00000006395",92.651207733146,-1.6317250253086,0.286740111803046,9.32862298639108e-10,2.48138922980526e-08,"Down","Hyi"
"ENSMUSG00000024754",4161.81756186369,-1.63228784525537,0.102068574020759,1.3598677944781e-58,5.86450219708013e-56,"Down","Cemip2"
"ENSMUSG00000026893",515.291904640356,-1.63761784409942,0.165012108011678,2.90750388931502e-24,3.18552412608249e-22,"Down","Gca"
"ENSMUSG00000002104",46.6533222237273,-1.6397132054748,0.269511198455025,8.89291462744311e-11,2.71871020488151e-09,"Down","Rapsn"
"ENSMUSG00000113617",20.5353032880681,-1.63978174797419,0.308735243045691,7.34162260535863e-09,1.69871402497733e-07,"Down",NA
"ENSMUSG00000043773",22.0012721931116,-1.64006149165366,0.454684202618341,9.40271150441977e-06,0.000120928654494343,"Down","1700048O20Rik"
"ENSMUSG00000105128",8.82410402616974,-1.64620233555273,0.702624105310793,0.000198334329121068,0.00177016227078596,"Down",NA
"ENSMUSG00000041607",184.794119075073,-1.64811931570092,0.257055781582662,1.10161076665768e-11,3.7590149207718e-10,"Down","Mbp"
"ENSMUSG00000082674",61.4840280919823,-1.66567784773471,0.394020043530447,1.02723111650961e-06,1.62401417074213e-05,"Down","Gm11914"
"ENSMUSG00000038756",49.0746967831884,-1.66796011672255,0.328785875681672,2.32517220906213e-08,5.02440463811091e-07,"Down","Ttll6"
"ENSMUSG00000031274",34.2400546799639,-1.67121834030301,0.788593988466042,0.000285635649113737,0.00243258360163291,"Down","Col4a5"
"ENSMUSG00000030339",173.32791944937,-1.67344839257632,0.325276042035703,1.59607227733154e-08,3.5433503821723e-07,"Down","Ltbr"
"ENSMUSG00000112803",3.21942332569426,-1.6769097171814,1.68493626613942,0.00148796115010665,0.0100297587467615,"Down",NA
"ENSMUSG00000113129",2.7259383678349,-1.68633539500046,1.20901937462095,0.000877064072873373,0.00645036708747111,"Down",NA
"ENSMUSG00000032492",34.9030570329565,-1.69891672384942,0.974354847591476,0.00050949866339898,0.00403714949508754,"Down","Pth1r"
"ENSMUSG00000113100",7.71446625256591,-1.69922912874703,1.22704888536861,0.00087227732948576,0.00641749153950884,"Down",NA
"ENSMUSG00000008601",494.671387379185,-1.69960948136018,0.243408461267361,1.97105564872608e-13,8.34056929937974e-12,"Down","Rab25"
"ENSMUSG00000097814",152.426986035943,-1.70634145137606,0.286635060058633,1.62495693084839e-10,4.82229165905798e-09,"Down","Panct2"
"ENSMUSG00000097617",6.59316571687042,-1.70815393314901,0.626490742688797,8.07243412193178e-05,0.00080971372451276,"Down",NA
"ENSMUSG00000060579",13.9209034064245,-1.70886939820623,0.463827465216425,6.41325473766977e-06,8.56742158106862e-05,"Down","Fhit"
"ENSMUSG00000022853",95.0640911051304,-1.71706841928242,0.160734191184656,8.53119360880286e-28,1.18437509080017e-25,"Down","Ehhadh"
"ENSMUSG00000021871",1021.07697930883,-1.71712204235715,0.210836602871783,2.55419031834917e-17,1.633150901029e-15,"Down",NA
"ENSMUSG00000032006",11.412566491122,-1.72473372053508,1.45408882928255,0.00110770114454049,0.00785859100409215,"Down","Pdgfd"
"ENSMUSG00000051457",27.7975187797155,-1.7326929207474,0.40487405605398,7.12761153908097e-07,1.17550494943558e-05,"Down","Spn"
"ENSMUSG00000040432",117.140732814486,-1.73353487788919,0.46851848076249,5.77823384433208e-06,7.82881161702988e-05,"Down","Ltb4r2"
"ENSMUSG00000038295",314.420874254888,-1.73356946271237,0.182757158644698,1.56449289590564e-22,1.56210376882322e-20,"Down","Atg9b"
"ENSMUSG00000070436",3555.81014385119,-1.73423127498995,0.19153423982896,8.84259890341217e-21,7.65942893902826e-19,"Down","Serpinh1"
"ENSMUSG00000031179",15.3407900795988,-1.73757477128127,1.16403027218124,0.000703048878487432,0.00532593569556578,"Down","Magea9"
"ENSMUSG00000034607",56.3026207413437,-1.74159067137995,0.282897219549599,4.20413609785432e-11,1.33146304011577e-09,"Down","Pof1b"
"ENSMUSG00000037101",9.82375710862805,-1.74161440573236,0.64190697171381,7.79416988500739e-05,0.000787180415337151,"Down","Ttc29"
"ENSMUSG00000060586",38.5979011471453,-1.74578453975039,0.302594435827271,4.26710531561853e-10,1.18155679839169e-08,"Down","H2-Eb1"
"ENSMUSG00000051596",24.4411647973449,-1.74824859923461,0.47744342653558,6.32259119488563e-06,8.46450468488354e-05,"Down","Otop1"
"ENSMUSG00000034919",41.939843891988,-1.74894547296572,0.562144315256345,3.01770241550233e-05,0.00034362814752706,"Down","Ttc22"
"ENSMUSG00000000197",41.6423130767533,-1.74895607087989,0.419651535779719,1.06408613974543e-06,1.67334929636787e-05,"Down","Nalcn"
"ENSMUSG00000045838",12.377397937194,-1.74985450575214,0.511037457325177,1.29305604804758e-05,0.00016118667304967,"Down","Ccdc9b"
"ENSMUSG00000020227",134.330857754811,-1.75047166316874,0.186180866016088,3.27979520768867e-22,3.18077363945654e-20,"Down","Irak3"
"ENSMUSG00000042105",680.019717670101,-1.75118743590005,0.115379755101573,3.15055187880605e-53,1.18256548206518e-50,"Down","Inpp5f"
"ENSMUSG00000087150",21.5021508260501,-1.75309241871841,0.319877473523702,2.14227549820521e-09,5.4689201004201e-08,"Down",NA
"ENSMUSG00000078866",397.950586003223,-1.75680705652173,0.163479472952456,3.74775536059651e-28,5.23884506234004e-26,"Down","Zfp970"
"ENSMUSG00000034958",147.915584825528,-1.75727535373496,0.471338457166123,4.99908479095382e-06,6.86958980527749e-05,"Down","Atcay"
"ENSMUSG00000074968",262.897950019242,-1.75989400174495,0.233013011571749,2.43499182116516e-15,1.27203219647414e-13,"Down","Ano3"
"ENSMUSG00000028860",246.550799914302,-1.76303317035808,0.214436253067999,1.15416281235915e-17,7.59536559860635e-16,"Down","Sytl1"
"ENSMUSG00000020811",191.777299005576,-1.76637777538877,0.246732034639173,4.47913841039629e-14,2.05867701678736e-12,"Down","Wscd1"
"ENSMUSG00000032246",20.648389156982,-1.76707947598347,0.57460109660622,3.18406321105246e-05,0.000359712929851854,"Down","Calml4"
