"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000041936",3427.42765639604,1.16444139560542,0.137179028323662,1.63485714194869e-18,4.65700734435098e-16,"Up","Agrn"
"ENSMUSG00000026829",17.0660247311843,1.16323702771767,0.89339756381515,0.00241750782620247,0.0266553117272737,"Up","Gbgt1"
"ENSMUSG00000036390",606.094981039137,1.16112701966862,0.211387901505957,2.30542611427122e-09,1.74740513842511e-07,"Up","Gadd45a"
"ENSMUSG00000032035",391.699381236942,1.16062605638331,0.17819164909632,5.10285131688989e-12,5.85292530249645e-10,"Up","Ets1"
"ENSMUSG00000047875",117.509147919054,1.16043391341682,0.304210713246845,4.0962040951865e-06,0.000138437812979693,"Up","Gpr157"
"ENSMUSG00000030735",129.328491334188,1.15972104113019,0.322558000472268,8.66014023785224e-06,0.000265352429368328,"Up","Gm9755"
"ENSMUSG00000002885",387.13866960388,1.15649724904819,0.345420457953974,1.91118841861937e-05,0.000518636390358197,"Up","Adgre5"
"ENSMUSG00000028019",75.5218852263503,1.15470528654974,0.464646195631288,0.000206487472194051,0.003884302071273,"Up","Pdgfc"
"ENSMUSG00000115575",16.0271756254289,1.15433969654082,0.96657287416154,0.00290561525649583,0.0306924851992196,"Up",NA
"ENSMUSG00000035783",1472.3638255817,1.15266191935233,0.394405378607493,6.62194028867196e-05,0.00149933146337383,"Up","Acta2"
"ENSMUSG00000037225",64.7172193481554,1.15228033646601,0.441628405515085,0.000151776787523128,0.00298509703048144,"Up","Fgf2"
"ENSMUSG00000078537",8.30547392345053,1.15046920857338,1.27193626858103,0.0040285358070365,0.0392585357857144,"Up","B020031M17Rik"
"ENSMUSG00000034382",377.074827508045,1.14980631622175,0.253825676620993,2.50467859034068e-07,1.16147188584635e-05,"Up","AI661453"
"ENSMUSG00000031555",698.918714155326,1.14732107442499,0.196951331104407,3.58871774961672e-10,3.19679524074105e-08,"Up","Adam9"
"ENSMUSG00000025006",472.932059929237,1.14631912303242,0.198842805542142,5.0849644382736e-10,4.32171961209601e-08,"Up","Sorbs1"
"ENSMUSG00000020826",23.6093973835368,1.14630763292849,0.903405575051058,0.00263177465600009,0.0284393340732785,"Up","Nos2"
"ENSMUSG00000072214",59.3683506069583,1.14511183673888,0.503977362967085,0.000348674080285866,0.00592677344863621,"Up","Septin5"
"ENSMUSG00000028800",2850.68188347138,1.13953306557397,0.213733170293426,5.47413750183916e-09,3.80430542420039e-07,"Up","Hdac1"
"ENSMUSG00000024209",78.8417838400862,1.13928187501706,0.535029543723604,0.00048850897104664,0.0076680701722221,"Up","Acsbg3"
"ENSMUSG00000026123",286.31286599627,1.1381348803487,0.328771286241438,1.34765284963203e-05,0.000388153968535126,"Up","Plekhb2"
"ENSMUSG00000038677",442.565105554302,1.13728374366056,0.189397274773974,1.25276218377851e-10,1.20721566274746e-08,"Up","Scube3"
"ENSMUSG00000103065",43.8850695528625,1.13708976628408,0.553762226359421,0.000581228152750894,0.00884564709589156,"Up",NA
"ENSMUSG00000103720",43.8850695528625,1.13708976628408,0.553762226359421,0.000581228152750894,0.00884564709589156,"Up",NA
"ENSMUSG00000037035",109.249458665248,1.1358287516694,0.414379073607949,0.000109585519227042,0.00229055792901071,"Up","Inhbb"
"ENSMUSG00000056091",249.947272851217,1.13500528438248,0.261162246990308,5.42910972762147e-07,2.3534010427994e-05,"Up","St3gal5"
"ENSMUSG00000090101",67.644453838685,1.1348781916955,0.583970262687437,0.000742124881354068,0.0108501755073097,"Up","Snhg9"
"ENSMUSG00000046352",30.0676166888593,1.1329440328622,0.633004856475351,0.00102935310055442,0.0139847437487273,"Up","Gjb2"
"ENSMUSG00000015027",127.022012731413,1.13186409837194,0.384151391563387,6.29737273462175e-05,0.00143697619741959,"Up","Galns"
"ENSMUSG00000034066",82.8072089791497,1.13123889950998,0.473877739941068,0.000269687841506066,0.00486293234771563,"Up","Farp2"
"ENSMUSG00000009376",230.684400763544,1.13094059786841,0.238850481988602,1.01125049287653e-07,5.17034226357897e-06,"Up","Met"
"ENSMUSG00000027215",58.9607120887053,1.12864496464581,0.650544142615616,0.00115981622806252,0.0153469914567824,"Up","Cd82"
"ENSMUSG00000084843",67.5761923812327,1.12749573890796,0.611951536292576,0.000930937856718384,0.0129531782726001,"Up",NA
"ENSMUSG00000040364",20.505445963782,1.1255690005119,0.69955090584981,0.00149619606022415,0.0186732760101735,"Up","Sec1"
"ENSMUSG00000027859",17.4367360255603,1.12376220098577,0.931498021588217,0.00302650615868947,0.0316479735182053,"Up","Ngf"
"ENSMUSG00000051176",905.787478355756,1.12134182264461,0.366749220177497,4.62997400967272e-05,0.00110826356340367,"Up","Zfp42"
"ENSMUSG00000052951",17.1221378396574,1.11968341521542,0.964596643199397,0.00326156904081118,0.0334307602514462,"Up",NA
"ENSMUSG00000047501",1709.13468673303,1.1175828869657,0.152728771072736,1.95086076123962e-14,3.28378004239308e-12,"Up","Cldn4"
"ENSMUSG00000020044",715.962634850567,1.1169544815438,0.182865976753623,6.76161848509264e-11,6.87351664198319e-09,"Up","Timp3"
"ENSMUSG00000030681",642.576380388641,1.11654813110711,0.25062089584017,3.44309722228286e-07,1.54148473568249e-05,"Up","Mvp"
"ENSMUSG00000004508",99.3998967912791,1.1160728234715,0.297843502160624,5.22808611487718e-06,0.000169615079186291,"Up","Gab2"
"ENSMUSG00000105008",143.099768189582,1.11585815906267,0.336904921115727,2.17471189757414e-05,0.000576409834447004,"Up",NA
"ENSMUSG00000022325",619.464015737331,1.11546514640526,0.400841917621631,9.98134373432658e-05,0.00212601801381441,"Up","Pop1"
"ENSMUSG00000022091",207.280974325957,1.11471663869914,0.274127822108749,1.63689749965697e-06,6.13174233903295e-05,"Up","Sorbs3"
"ENSMUSG00000029304",1368.57414147838,1.11389707548916,0.310878890334995,9.13764167930179e-06,0.000276389670491087,"Up","Spp1"
"ENSMUSG00000026437",199.553642756255,1.11364879049499,0.219025322348999,1.92486029077298e-08,1.17127296848397e-06,"Up","Cdk18"
"ENSMUSG00000000753",92.9330419411618,1.11033079957568,0.382706182488252,7.25261193449646e-05,0.00160960793292823,"Up","Serpinf1"
"ENSMUSG00000047591",129.426399685515,1.10592814838286,0.396594988841832,9.90630089860347e-05,0.00211350725838353,"Up","Mafa"
"ENSMUSG00000001507",1711.31237782428,1.10562799012571,0.237320346935577,1.42043214179546e-07,7.00008402654407e-06,"Up","Itga3"
"ENSMUSG00000026896",25.944631822686,1.10558509098852,0.729782906477811,0.00185504331315533,0.0219472536575137,"Up","Ifih1"
"ENSMUSG00000056458",81.6441064168538,1.10506107181787,0.4172825845859,0.000143873138072871,0.00287103886460737,"Up","Mok"
"ENSMUSG00000022221",56.1868993446579,1.10454817958283,0.412916144486919,0.000134204305122751,0.0027136068622402,"Up","Ripk3"
"ENSMUSG00000051735",174.670844013821,1.1032436530174,0.578544985465966,0.000844145973233416,0.0120032649029932,"Up","Rinl"
"ENSMUSG00000018648",111.59671641823,1.10281473883791,0.29997104717086,6.68235264135448e-06,0.000210986534919843,"Up","Dusp14"
"ENSMUSG00000047412",1349.93147851678,1.10064692646135,0.188984297202152,3.65858094716468e-10,3.23678277516733e-08,"Up","Zbtb44"
"ENSMUSG00000032120",69.880685295606,1.09892512970813,0.385622845517087,8.43212152426227e-05,0.00183216642206141,"Up","C2cd2l"
"ENSMUSG00000048612",872.242535815059,1.09887078641194,0.285393544498336,3.63405043894708e-06,0.000124605628939664,"Up","Myof"
"ENSMUSG00000024331",294.019737907546,1.0985457744832,0.287515523287504,4.0387778824021e-06,0.000136675196171837,"Up","Dsc2"
"ENSMUSG00000025212",80.1421191847955,1.09773602931629,0.362268507079585,5.08084371134387e-05,0.0011922087204945,"Up","Sfxn3"
"ENSMUSG00000001918",1220.64922144736,1.0960420055648,0.133554077527726,1.88318179562906e-17,4.73940179672782e-15,"Up","Slc1a5"
"ENSMUSG00000034765",441.182390825085,1.09450891330108,0.168394912317292,5.77637874546568e-12,6.59626827488817e-10,"Up","Dusp5"
"ENSMUSG00000038224",28.9522521580899,1.09378471681214,1.03120667486274,0.00392449841463902,0.0385198212435716,"Up","Serpinf2"
"ENSMUSG00000031803",65.8705253851635,1.09316588391386,0.720045621517651,0.0018870679171808,0.0222045277118297,"Up","B3gnt3"
"ENSMUSG00000038521",38.9888281795723,1.09298517836755,0.497652665938989,0.000446565096075977,0.00718857557600268,"Up","C1s1"
"ENSMUSG00000021255",1687.04275880382,1.08973581723334,0.687050339335232,0.00166878399508135,0.0203185621045086,"Up","Esrrb"
"ENSMUSG00000025855",103.536862164489,1.08947963650736,0.510467085960735,0.000518426697708604,0.00803747419736988,"Up","Prkar1b"
"ENSMUSG00000048373",130.762327671426,1.08767795068191,0.394171102237553,0.000108789242851659,0.00227973706806848,"Up","Fgfbp1"
"ENSMUSG00000040511",1100.13775082361,1.08619570999315,0.234762650978605,1.62945836727198e-07,7.95457999932663e-06,"Up","Pvr"
"ENSMUSG00000028494",857.772611902093,1.08521816648219,0.149706586539246,3.29217402910456e-14,5.33373344890302e-12,"Up","Plin2"
"ENSMUSG00000073609",159.566526906469,1.08008211943539,0.256183570379646,9.10328261029754e-07,3.66391183185217e-05,"Up","D2hgdh"
"ENSMUSG00000026398",239.448158484475,1.07983971278871,0.497513655491256,0.000483002646689714,0.00760193965239269,"Up","Nr5a2"
"ENSMUSG00000113623",86.3560204324986,1.07859316821636,0.412220790421458,0.00016025190669709,0.00313276766621566,"Up",NA
"ENSMUSG00000038446",554.499866874629,1.07823138762165,0.184170108674072,3.06652671156461e-10,2.77938830129992e-08,"Up","Cdc40"
