"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"exEpiLC","GO:0051177","meiotic sister chromatid cohesion","4/155","13/23189",0.307692307692308,46.0327543424318,13.3227463441881,1.31000940815853e-06,5.07522999741418e-05,4.69735122246319e-05,"ENSMUSG00000028109/ENSMUSG00000020419/ENSMUSG00000020059/ENSMUSG00000036928",4
"exEpiLC","GO:0031047","gene silencing by RNA","10/155","209/23189",0.0478468899521531,7.1582034264547,7.33609548863225,1.5031183837765e-06,5.64139118411119e-05,5.22135859627628e-05,"ENSMUSG00000030491/ENSMUSG00000022652/ENSMUSG00000023403/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000021758/ENSMUSG00000044595/ENSMUSG00000010796/ENSMUSG00000025081/ENSMUSG00000043648",10
"exEpiLC","GO:0006310","DNA recombination","12/155","342/23189",0.0350877192982456,5.24934917940011,6.49432016884405,3.43917654855011e-06,0.00012516518287299,0.00011584594689853,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000005493/ENSMUSG00000002076/ENSMUSG00000009670/ENSMUSG00000078653/ENSMUSG00000009628/ENSMUSG00000020059/ENSMUSG00000039329/ENSMUSG00000076430/ENSMUSG00000037108/ENSMUSG00000022429",12
"exEpiLC","GO:0051445","regulation of meiotic cell cycle","6/155","65/23189",0.0923076923076923,13.8098263027295,8.48362088421759,4.82837507814243e-06,0.000170555249083796,0.000157856473142985,"ENSMUSG00000028109/ENSMUSG00000010592/ENSMUSG00000078653/ENSMUSG00000036743/ENSMUSG00000060445/ENSMUSG00000029848",6
"exEpiLC","GO:0048599","oocyte development","6/155","69/23189",0.0869565217391304,13.0092566619916,8.19520026534023,6.85512854470095e-06,0.000228694705060718,0.000211667126994275,"ENSMUSG00000010592/ENSMUSG00000023403/ENSMUSG00000022429/ENSMUSG00000025081/ENSMUSG00000079681/ENSMUSG00000043648",6
"exEpiLC","GO:0070918","production of small RNA involved in gene silencing by RNA","6/155","69/23189",0.0869565217391304,13.0092566619916,8.19520026534023,6.85512854470095e-06,0.000228694705060718,0.000211667126994275,"ENSMUSG00000030491/ENSMUSG00000023403/ENSMUSG00000040629/ENSMUSG00000021758/ENSMUSG00000025081/ENSMUSG00000043648",6
"exEpiLC","GO:0007548","sex differentiation","12/155","371/23189",0.032345013477089,4.83902269367881,6.11479159526589,7.85922040147402e-06,0.000255106046004603,0.000236111998405592,"ENSMUSG00000027794/ENSMUSG00000005493/ENSMUSG00000009670/ENSMUSG00000011349/ENSMUSG00000009628/ENSMUSG00000060445/ENSMUSG00000028610/ENSMUSG00000022039/ENSMUSG00000039329/ENSMUSG00000027939/ENSMUSG00000022429/ENSMUSG00000025219",12
"exEpiLC","GO:0040020","regulation of meiotic nuclear division","5/155","42/23189",0.119047619047619,17.810291858679,8.94469129986579,8.71400802691448e-06,0.000275408516850639,0.000254902838682041,"ENSMUSG00000028109/ENSMUSG00000010592/ENSMUSG00000036743/ENSMUSG00000060445/ENSMUSG00000029848",5
"exEpiLC","GO:0007143","female meiotic nuclear division","5/155","48/23189",0.104166666666667,15.5840053763441,8.29696364143924,1.69831902992931e-05,0.000522995167934642,0.000484055302457585,"ENSMUSG00000010592/ENSMUSG00000002076/ENSMUSG00000020059/ENSMUSG00000060445/ENSMUSG00000068117",5
"exEpiLC","GO:0006346","DNA methylation-dependent heterochromatin assembly","5/155","49/23189",0.102040816326531,15.2659644502962,8.20031081804206,1.88116609117241e-05,0.000564399791716469,0.000522377124372314,"ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000021758/ENSMUSG00000025081",5
