"ENSEMBL","SYMBOL"
"ENSMUSG00000070336","Fbxo47"
"ENSMUSG00000070708","Gtsf1l"
"ENSMUSG00000070837","Aurkc"
"ENSMUSG00000071103","Cfap96"
"ENSMUSG00000072952","Gm5878"
"ENSMUSG00000073894","Rbmxl2"
"ENSMUSG00000074832","Zfp998"
"ENSMUSG00000075511",NA
"ENSMUSG00000078932","Redic1"
"ENSMUSG00000079330",NA
"ENSMUSG00000081044","AU015836"
"ENSMUSG00000086587","Gm11837"
"ENSMUSG00000086930","Frs3os"
"ENSMUSG00000091594","LOC115486519"
"ENSMUSG00000095180","Rhox5"
"ENSMUSG00000097021","4933433G15Rik"
"ENSMUSG00000098211",NA
"ENSMUSG00000019027","Dnah1"
"ENSMUSG00000020299","4930524B15Rik"
"ENSMUSG00000031027","Stk33"
"ENSMUSG00000062132","Arhgap33os"
"ENSMUSG00000032514","Ttc21a"
"ENSMUSG00000042707","Dnali1"
"ENSMUSG00000044948","Cfap43"
"ENSMUSG00000049353","Rd3"
"ENSMUSG00000052273","Dnah3"
"ENSMUSG00000091415","Ak9"
