"ENSEMBL","Sample_DEG","SYMBOL","sexBias"
"ENSMUSG00000071573","XX 5CKO","Rnls","XY"
"ENSMUSG00000071636","XX 5CKO and XX 5CHET","Rimbp3","XY"
"ENSMUSG00000071773","All","Rhox1","unbiased"
"ENSMUSG00000072419","All","Dppa2","unbiased"
"ENSMUSG00000072479","XX 5CKO and XX 5CHET","Xlr5b","unbiased"
"ENSMUSG00000072647","XX 5CKO and XX 5CHET","Adam1a","XY"
"ENSMUSG00000072770","XY 5CKO","Acrbp","XY"
"ENSMUSG00000072972","XX 5CKO and XX 5CHET","Adam4","XY"
"ENSMUSG00000073243","XX 5CKO and XX 5CHET","Gm9","unbiased"
"ENSMUSG00000073894","All","Rbmxl2","unbiased"
"ENSMUSG00000074212","XY 5CKO","Dnajb14","unbiased"
"ENSMUSG00000074579","XX 5CHET","Lekr1","unbiased"
"ENSMUSG00000074817","XY 5CKO and XX 5CKO","Papolb","XY"
"ENSMUSG00000075571","XX 5CKO and XX 5CHET","Defb30","XY"
"ENSMUSG00000076436","XX 5CHET","Oxct2a","XY"
"ENSMUSG00000076438","XX 5CHET","Oxct2b","XY"
"ENSMUSG00000078958","XX 5CHET","Atp6ap1l","XY"
"ENSMUSG00000079330","XY 5CKO","Lemd1","XY"
"ENSMUSG00000079608","XX 5CKO","Stard6","XY"
"ENSMUSG00000079711","XX 5CHET","Smok4a","XY"
"ENSMUSG00000086727","XX 5CHET","4931428L18Rik","XY"
"ENSMUSG00000086788","XX 5CKO","1700029M20Rik","XY"
"ENSMUSG00000087166","XX 5CKO and XX 5CHET","L1td1","unbiased"
"ENSMUSG00000090273","XX 5CHET","Prr22","XY"
"ENSMUSG00000091490","XX 5CKO and XX 5CHET","Triml2","unbiased"
"ENSMUSG00000091614","All","Tmem217","XY"
"ENSMUSG00000092837","All","Rpph1","XY"
"ENSMUSG00000099417","XX 5CKO and XX 5CHET","1700028B04Rik","XY"
"ENSMUSG00000101225","XX 5CKO and XX 5CHET","1700008J07Rik","XY"
"ENSMUSG00000101959","XX 5CHET","Ldhal6b","XY"
